data10, data20, data30, data40, data50, data60, data70, data80, data90, data100
36.073, 29.685, 76.559, 85.508, 107.684, 84.025, 79.251, 287.300, 231.699, 121.889
11.969, 7.234, 75.096, 84.149, 105.442, 82.855, 81.073, 286.020, 229.606, 120.626
12.593, 6.284, 75.046, 84.056, 105.475, 202.977, 158.742, 285.937, 229.474, 120.582
16.417, 10.580, 74.980, 84.030, 105.459, 203.101, 158.721, 285.739, 229.379, 120.562
16.363, 10.607, 74.952, 10.400, 105.428, 203.153, 158.751, 285.696, 229.307, 120.446
16.316, 5.199, 74.933, 10.456, 105.348, 203.509, 158.738, 285.617, 229.242, 120.423
5.364, 6.589, 74.947, 6.795, 105.334, 203.506, 158.802, 285.605, 229.208, 37.340
10.439, 6.106, 74.916, 11.205, 55.415, 203.524, 158.864, 285.672, 228.895, 37.366
10.445, 5.288, 74.887, 11.171, 55.414, 203.501, 158.889, 285.555, 228.676, 37.354
11.483, 30.452, 25.981, 29.433, 55.375, 203.521, 159.002, 285.547, 228.625, 37.357
11.488, 30.460, 26.037, 29.452, 55.347, 203.563, 159.124, 285.505, 228.617, 39.415
5.124, 30.167, 25.983, 29.438, 55.325, 203.565, 159.196, 285.306, 228.600, 39.469
5.510, 30.176, 25.975, 29.446, 55.273, 203.549, 159.846, 285.335, 228.605, 39.527
5.357, 30.121, 25.964, 29.424, 56.060, 203.567, 159.965, 285.273, 228.608, 25.343
11.320, 18.218, 7.955, 45.996, 56.104, 203.577, 160.080, 285.198, 228.624, 25.186
11.397, 18.237, 42.955, 46.056, 53.610, 203.588, 160.139, 285.161, 228.711, 25.172
5.448, 26.933, 42.962, 46.031, 53.551, 203.584, 160.142, 285.137, 228.718, 25.151
10.921, 27.014, 42.961, 46.022, 53.568, 203.601, 160.137, 285.060, 228.751, 25.809
10.957, 27.015, 42.968, 46.022, 53.611, 203.602, 160.145, 285.155, 228.787, 7.360
16.439, 27.048, 43.033, 46.008, 53.614, 203.586, 160.068, 285.125, 228.775, 75.091
16.443, 27.058, 43.086, 46.076, 53.615, 203.633, 159.936, 285.168, 228.828, 218.499
16.445, 53.041, 43.070, 46.151, 53.596, 203.767, 97.613, 285.238, 228.832, 218.310
5.868, 53.082, 43.060, 46.169, 53.595, 203.870, 97.103, 285.050, 228.818, 200.431
5.517, 53.154, 21.209, 11.370, 25.740, 203.895, 97.093, 285.118, 228.808, 200.256
8.706, 53.193, 21.209, 11.252, 25.796, 203.889, 97.074, 285.145, 228.745, 200.106
14.041, 53.258, 21.212, 95.804, 25.793, 203.906, 97.049, 285.198, 228.706, 199.388
